// Duolingo
准备[準備]	zhun3bei4	verb 1 prepare; get ready 2 intend; plan
瘦[瘦]	shou4	adjective 1 thin; emaciated (opp. 胖, 肥) 2 lean (opp. 肥) 3 tight (opp. 肥) 4 not fertile; poor
胖[胖]	pang4	adjective fat; stout; plump (opp. 瘦)
转机[轉機]	zhuan3ji1	noun favourable turn; take a turn for the better  verb change to another plane; (flight) transfer
柜台[櫃檯]	gui4tai2	noun counter; bar
银行[銀行]	yin2hang2	noun bank
换钱[換錢]	huan4//qian2	verb 1 change money (or bills); exchange 2 sell
退房[退房]	tui4fang2	to check out of a hotel room
导游[導遊]	dao3you2	noun 1 tourist guide 2 guidebook  verb conduct a sightseeing tour
闷[悶]	men4	noun low spirits  adjective 1 bored; depressed; vexed; in low spirits 2 tightly closed; sealed
死[死]	si3	verb die; be dead (opp. 生, 活)  adjective 1 to the death 2 implacable; deadly 3 fixed; rigid; inflexible 4 impassable; closed 5 colloquial extremely; to death 6 colloquial [expressing anger, complaint, etc., sometimes jocularly] devil; damn it  adverb [often in the negative] stubbornly; adamantly; unyieldingly
着急[著急]	zhao2//ji2	adjective worried; excited; anxious
公斤[公斤]	gong1jin1	measure word kilogram (kg); kilo
照顾[照顧]	zhao4gu5	verb 1 give consideration to; show consideration for; make allowance(s) for 2 look after; care for; attend to 3 offer preferential treatment 4 (of a customer) patronize; shop at
抽[抽]	chou1	verb 1 take out (from in between); draw 2 take (a part from a whole) 3 obtain by drawing, etc. 4 (of certain plants) put forth  verb 1 shrink 2 lash; whip; thrash 3 sports drive
抽烟[抽煙]	chou1//yan1	verb smoke (a cigarette or a pipe)
回答[回答]	hui2da2	verb answer; reply; response
句子[句子]	ju4zi5	noun sentence
咳嗽[咳嗽]	ke2sou5	verb cough
词典[詞典]	ci2dian3	noun dictionary
简单[簡單]	jian3dan1	adjective 1 simple; uncomplicated (opp. 复杂) 2 [usu. in the negative] commonplace; ordinary 3 oversimplified; casual
翻[翻]	fan1	verb 1 turn upside down or inside out; turn over 2 look through; search 3 reverse 4 cross; get over 5 multiply; double 6 translate 7 colloquial fall out; break up
充值[充值]	chong1//zhi2	verb 1 invest (more) money 2 deposit (more) money in a phone card, etc.
取消[取消]	qu3xiao1	verb cancel; call off; abolish
漫游[漫游]	man4you2	V. go on a pleasure trip; roam
翻译[翻譯]	fan1yi4	verb translate; interpret  noun translator; interpreter
数学[數學]	shu4xue2
终于[終於]	zhong1yu2	adverb at (long) last; in the end; finally
结束[結束]	jie2shu4	verb 1 end; finish; conclude; wind up; close 2 [often in the early vernacular] style of dressing; makeup
成绩[成績]	cheng2ji4	noun result (of work or study); achievement; success
担心[擔心]	dan1//xin1	verb worry; feel anxious
寒[寒]	han2
暑[暑]	shu3
放假[放假]	fang4//jia4	verb have a holiday (or vacation); have a day off
复习[複習]	fu4xi2	verb review; revise
寒假[寒假]	han2jia4	noun winter vacation
暑假[暑假]	shu3jia4	noun summer vacation (or holidays)
松[鬆]	song1
放松[放鬆]	fang4song1	verb relax; slacken; loosen
专业[專業]	zhuan1ye4	noun 1 specific field of study; specialization; speciality; discipline 2 specialized trade (or profession); special line; professional
美术[美術]	mei3shu4	noun 1 the fine arts; art 2 painting
休息[休息]	xiu1xi5	verb 1 have (or take) a rest; rest; have a break 2 have a holiday (or vacation)
灯[燈]	deng1	noun 1 lamp; lantern; light 2 common name for valve; tube 3 burner
厨房[廚房]	chu2fang2	noun kitchen
客厅[客廳]	ke4ting1	noun drawing room; parlour; living room; sitting room
空调[空調]	kong1tiao2	noun abbreviation 1 air conditioning 2 = 25036544空气调节器kong1qi4tiao2jie2qi4空气调节器 air conditioner
把[把]	ba3	noun 1 handle (of a pushcart, etc.) 2 bundle; bunch  verb 1 hold; grasp 2 hold (a baby while it urinates) 3 control; monopolize; dominate 4 guard; watch 5 colloquial close to; be located at 6 colloquial give  measure word 1 [for sth. with a handle] 2 handful of 3 [for certain abstract concepts] 4 [for sth. done with the hand]  preposition [used to shift the object ahead of the verb, which must be reduplicated or accompanied by some other word or expression]  auxiliary [after 百, 千, 万, 里, 丈, 顷, 斤, 个, etc., without numeral] about; or so  adjective dated sworn
画[畫]	hua4	noun 1 drawing; painting; picture 2 decorated with paintings or pictures  verb draw; paint  noun 1 stroke (of a Chinese character) 2 dialect horizontal stroke (in Chinese characters)  verb draw; mark; sign
扫[掃]	sao3	verb 1 sweep (away) 2 eliminate; clear away 3 pass quickly along (or over); sweep 4 put all together 5 abbreviation computing scan
净[凈]	jing4
厕所[廁所]	ce4suo3	noun lavatory; toilet
客人[客人]	ke4ren5	noun 1 visitor; guest (opp. 主人) 2 guest (at a hotel, etc.); traveller 3 customer 4 VARIANT OF 24998144客商ke4shang1客商 travelling trader; travelling merchant; foreign business people
坏[壞]	huai4	adjective 1 bad; harmful (opp. 好) 2 becoming bad; ruined; spoiled; rotten 3 [after certain verbs or adjectives] extreme; very much  noun evil idea; dirty trick  verb spoil; ruin
电梯[電梯]	dian4ti1	noun lift; elevator
被[被]	bei4	preposition [used in a passive structure to introduce either the doer of the action, or the action alone]  noun quilt  verb literary 1 cover (with) 2 suffer
干净[乾凈]	gan1jing4
打扫[打掃]	da3sao3	verb clean; sweep
拿[拿]	na2	verb 1 hold; take 2 seize; capture; take over 3 have a firm grasp of; be able to do; be sure of 4 put sb. in a difficult (or awkward) position 5 get; receive; gain; win 6 (of a chemical agent, etc.) turn sth. bad 7 pretend; feign; behave in a certain manner  preposition colloquial 1 by means of; with; by 2 [in the same way as 把2] at; to; about; as; with 3 [with 来说, 来讲, 来看, etc.] as regards; as to
地图[地圖]	di4tu2	noun map
红绿灯[紅綠燈]	hong2lü4deng1	noun traffic light; traffic signal
接[接]	jie1	verb 1 come into contact with; come close to 2 connect; join; put together; continue 3 catch; take hold of 4 receive 5 meet; welcome 6 take over; succeed to
免费[免費]	mian3//fei4	verb free of charge; free; gratis
安排[安排]	an1pai2	noun arrangement; plan; schedule; disposal  verb arrange (matters); plan in detail; dispose (manpower); fix up
活动[活動]	huo2dong5	noun 1 activity; manoeuvre 2 psychology behaviour  verb 1 act; move about; exercise 2 be shaky; unsteady 3 use personal influence or irregular means  adjective movable; mobile; flexible
时差[時差]	shi2cha1	noun 1 time difference; jet lag 2 astronomy equation of time
街[街]	jie1	noun 1 street 2 dialect country fair; market
景[景]	jing3	noun 1 view; scenery; scene 2 situation; condition 3 setting; scenery (of a play or film) 4 scene (of a play) 5 (Jǐng) a surname  verb admire; revere; respect
说出来[說出來]	shuo1 chu1lai5	R.V. speak out
绿[綠]	lü4	adjective green  verb turn green
风景[風景]	feng1jing3	noun scenery; landscape
累[累]	lei4	adjective (be) tired; weary; fatigued  verb 1 tire; wear out; strain 2 work hard; toil
观光[觀光]	guan1guang1	verb go sightseeing; visit; tour
参观[參觀]	can1guan1	verb visit; have a look around
博物馆[博物館]	bo2wu4guan3	noun museum
博物[博物]	bo2wu4	noun dated natural science; general name for zoology, botany, mineralogy, physiology, etc.
刚才[剛才]	gang1cai2
发[發]	fa1	verb 1 send (out); issue; emit; give forth; shoot 2 utter; express 3 come or bring into existence; generate; germinate 4 become; come to be 5 (of foodstuffs) rise or expand when leavened or soaked 6 develop; expand 7 open up; expose 8 feel; have a feeling 9 start; set out 10 colloquial become rich; make a fortune 11 show one's feelings  measure word [for bullets and shells]
电子邮件[電子郵件]	dian4zi3you2jian4	email
其实[其實]	qi2shi2	adverb actually; in fact; as a matter of fact
短信[短信]	duan3xin4	noun short message; text message
信号[信號]	xin4hao4	noun signal
谈[談]	tan2	verb talk; chat; discuss  noun 1 what is said or talked about 2 (Tán) a surname
邮[郵]	you2
登录[登錄]	deng1lu4	verb 1 computing telnet; register 2 internet log on; log in
密码[密碼]	mi4ma3	noun 1 cipher; cipher (or secret) code; cryptogram (opp. 明码) 2 biology code
段[段]	duan4	measure word 1 section; segment; part 2 paragraph; passage  noun 1 abbreviation VARIANT OF 59525859段位duan4wei4段位 sports level; dan (in judo, weiqi, etc.) 2 section (as an administrative level in a mine or factory) 3 (Duàn) a surname
升[升]	sheng1	verb rise; hoist; go up; ascend (opp. 降)  verb promote (opp. 降)  noun a sheng measure, equal to 0.1 dou (斗)  measure word 1 litre (l) 2 sheng (a traditional unit of volume, equivalent to 1 litre or 1.76 pints or 0.22 gallon)
据[據]	ju4	noun evidence; certificate; proof  verb 1 occupy; seize 2 rely on; depend on  preposition according to; on the grounds of
升职[升職]	sheng1zhi2	1 to get promoted (at work etc) 2 promotion
面试[面試]	mian4shi4	verb interview
决定[決定]	jue2ding4	noun decision; resolution  verb 1 decide; resolve; make up one's mind 2 determine; decide  adjective decisive
满意[滿意]	man3yi4	verb satisfied; feel pleased; content  adjective satisfactory; gratified
根据[根據]	gen1ju4	noun basis; grounds; foundation  preposition on the basis of; according to; in the light of; in line with
满[滿]	man3	adjective 1 full; filled; packed 2 satisfied 3 complacent; conceited  verb 1 fill 2 expire; reach the limit  adverb 1 completely; entirely; perfectly 2 quite; very  noun (Mǎn) 1 Manchu ethnic group 2 a surname
出差[出差]	chu1//chai1	verb 1 go (or be away) on official business; go on a business trip 2 take up short-term tasks in transport, construction, etc.
老板[老闆]	lao3ban3	noun 1 shopkeeper; proprietor; boss 2 dated theater respectful address to an opera star or a troupe leader
麻烦[麻煩]	ma2fan5	adjective troublesome; inconvenient  noun trouble; inconvenience  verb inconvenience sb.; trouble sb.; bother
表现[表現]	biao3xian4	noun 1 expression; manifestation; display 2 behaviour; performance  verb 1 show; display; manifest 2 show off 3 describe; express
认为[認為]	ren4wei2	verb think; consider; hold; deem
月亮[月亮]	yue4liang5	noun moon
圆[圓]	yuan2	noun 1 mathematics circle; sphere; ring 2 coin of fixed value and weight  verb make plausible; justify  adjective 1 round; circular; spherical 2 tactful; satisfactory 3 (of a voice) sweet and agreeable  measure word yuan (monetary unit of China, equal to 10 jiao or 100 fen)
月饼[月餅]	yue4bing5	noun moon cake (esp. for the Mid-Autumn Festival)
聚会[聚會]	ju4hui4	noun get-together  verb (-//-) get together; meet
划[劃]	hua4	verb 1 delimit; differentiate history history 2 transfer; assign 3 plan  VARIANT OF 22946304画hua4画2 noun 1 stroke (of a Chinese character) 2 dialect horizontal stroke (in Chinese characters)  verb draw; mark; sign
龙舟[龍舟]	long2zhou1	noun folk tradition dragon boat
端午节[端午節]	Duan1wu3jie2	noun Dragon Boat Festival (the 5th day of the 5th lunar month)
粽子[粽子]	zong4zi5	noun pyramid-shaped dumpling made of glutinous rice wrapped in bamboo or reed leaves (usu. eaten during the Dragon Boat Festival)
饼[餅]	bing3	noun 1 round flat cake 2 sth. shaped like a cake or bun
恭喜[恭喜]	gong1xi3	verb courteous congratulate
汤圆[湯圓]	tang1yuan2	noun (usu. stuffed) dumplings made of glutinous rice flour served in soup
财[財]	cai2
端[端]	duan1	noun 1 end; extremity 2 beginning 3 point; item 4 reason; cause  verb hold sth. level with both hands; carry  adjective upright; proper
酸[酸]	suan1	noun chemistry acid  adjective 1 sour; tart 2 sick at heart; grieved; distressed 3 pedantic; impractical  adjective tingle; ache
珍[珍]	zhen1	noun treasure  verb value highly; treasure  adjective precious; valuable; rare
珍珠[珍珠]	zhen1zhu1	noun pearl
鸭[鴨]	ya1	noun duck
卤[鹵]	lu3	noun 1 bittern 2 chemistry halogen 3 thick gravy used as a sauce for noodles, etc. 4 thick infusion  verb stew chickens, ducks, meat, etc. in soy sauce  adjective stupid; dull
卷[捲]	juan3	noun 1 cylindrical mass of sth.; roll 2 (of hair dressing) curler  verb 1 roll up 2 sweep off; carry along  measure word roll; spool; reel  noun roll (a food)
卤肉饭[滷肉飯]	lu3rou4fan4
馒头[饅頭]	man2tou5	noun 1 steamed bun (or bread) 2 dialect steamed stuffed bun
春卷[春捲]	chun1juan3	noun spring roll (a thin sheet of dough, rolled, stuffed, and fried)
蔬菜[蔬菜]	shu1cai4	noun vegetables; greens; greenstuff
宫保鸡丁[宮保雞丁]	gong1bao3ji1ding1	1 Kung Pao Chicken 2 spicy diced chicken
聚[聚]	ju4	verb assemble; gather; get together
赞[贊]	zan4
自拍[自拍]	zi4pai1	1 to take a picture or video of oneself 2 to take a selfie 3 selfie
好友[好友]	hao3you3	noun close (or bosom) friend
帮助[幫助]	bang1zhu4	noun help; assistance; aid  verb help; assist; aid
菜鸟[菜鳥]	cai4niao3	noun 1 colloquial poultry raised for meat 2 slang rookie; green hand
囧[囧]	jiong3	noun archaic window  adjective 1 archaic bright 2 slang internet awkward; embarrassed; tricky
萌[萌]	meng2	noun bud; sprout; shoot  verb 1 (of plants) sprout; shoot forth; bud; germinate 2 start; spring up; occur 3 literary hoe  VARIANT OF 26697728氓meng2氓 méng noun archaic common people
刷[刷]	shua1	verb 1 clean with a brush; brush; scrub 2 paint, daub, paste up, etc. with a brush 3 colloquial eliminate; remove  noun brush  onomatopoeia swish; rustle
粉丝[粉絲]	fen3si1	noun 1 fine or thin vermicelli or noodles (made from bean, potato starch, etc.) 2 transliteration slang fans
眉[眉]	mei2	noun 1 eyebrow; brow 2 top margin of a page
美眉[美眉]	mei3mei2	noun 1 original meaning beautiful brows 2 beautiful girl; beauty; girls met on-line
土豪[土豪]	tu3hao2	noun 1 local tyrant 2 dialect nouveau riche
关注[關注]	guan1zhu4	verb follow with interest; pay close attention to; show solicitude for
转发[轉發]	zhuan3fa1	verb 1 transmit 2 (of an email) forward 3 relay; transmit 4 VARIANT OF 36677120转载zhuan3zai3转载 zhuǎnzǎi reprint sth. published elsewhere; reprint
微信[微信]	Wei1xin4	Weixin or WeChat (mobile text and voice messaging service developed by Tencent 腾讯Téngxùn [腾讯])
聊天[聊天]	liao2tian1
高富帅[高富帥]	gao1fu4shuai4	"Mr Perfect" (i.e. tall, rich and handsome) (Internet slang)
评论[評論]	ping2lun4	noun comment; commentary; review  verb comment on; discuss
分享[分享]	fen1xiang3	verb share (joy, rights, etc.); partake of
点赞[點贊]	dian3zan4	to like; to upvote (on social media)
收据[收據]	shou1ju4	noun receipt
费用[費用]	fei4yong5	noun cost; expenses
报销[報銷]	bao4//xiao1	verb 1 submit an expense account; reimburse 2 hand in a list of used articles 3 colloquial write off; wipe out
尽快[儘快]	jin3kuai4	adverb as quickly (or soon, early) as possible; ASAP
回复[回復]	hui2fu4	verb 1 reply (to a letter) 2 return to normal state
广告[廣告]	guang3gao4	noun advertisement; ad; commercial
预算[預算]	yu4suan4	noun budget  verb draw up (or prepare) a budget
协议[協議]	xie2yi4	noun 1 agreement 2 telecommunications protocol  verb agree on
报告[報告]	bao4gao4	noun report; speech; talk; lecture  verb report; make known
销[銷]	xiao1	noun expend; spend  verb 1 melt (metal) 2 cancel; annul 3 sell; market  noun bolt; pin  verb fasten with a bolt; bolt
合[合]	he2	verb 1 close; shut 2 join; combine (opp. 分) 3 suit; agree 4 be equal to; add up to 5 literary be proper  noun 1 literary match; marriage; spousing 2 astronomy conjunction  adjective whole  measure word VARIANT OF 23125760回合hui2he2回合  noun music note of the scale in gongchepu (工尺谱), corresponding to 5 in numbered musical notation
协[協]	xie2	verb assist  adverb jointly; coordinately
签名[簽名]	qian1ming2	verb (-//-) sign one's name; autograph  noun signature; autograph
项目[項目]	xiang4mu4	noun item; project
低[低]	di1	adjective low (opp. 高)  verb droop; hang down
资[資]	zi1
资本[資本]	zi1ben3	noun 1 capital 2 capitalize on; sth. used to one's own advantage
保险[保險]	bao3xian3	verb (-//-) insure  noun insurance  adjective safe
投资[投資]	tou2zi1	noun money invested; investment  verb (-//-) invest
风险[風險]	feng1xian3	noun risk; hazard
版权[版權]	ban3quan2	noun copyright
律师[律師]	lü4shi1	noun lawyer; (US) attorney
咨询[咨詢]	zi1xun2	verb seek advice from; hold counsel with; consult
合作[合作]	he2zuo4	verb 1 cooperate; collaborate; work together 2 co-author; compose jointly
险[險]	xian3	noun 1 place of difficult access; narrow pass; defile 2 abbreviation insurance  adjective 1 dangerous; perilous 2 sinister; vicious; venomous  adverb by a hair's breadth; by inches; nearly
律[律]	lü4
贵姓[貴姓]	gui4xing4
持[持]	chi2	verb 1 hold; grasp 2 support; maintain 3 manage; run 4 control; hold under duress 5 oppose
护[護]	hu4	verb 1 protect; guard; shield 2 be partial to; shield from censure
感谢[感謝]	gan3xie4	noun thanks  verb thank; be grateful
救护车[救護車]	jiu4hu4che1	ambulance
保持[保持]	bao3chi2	verb keep; maintain; preserve
联系[聯繫]	lian2xi4	noun contact; touch; connection; relation  verb 1 arrange; get in touch with 2 integrate; relate; link
伤[傷]	shang1	noun wound; injury  verb 1 injure; hurt 2 be distressed 3 get sick of sth.; develop an aversion to sth. 4 be harmful to; hinder
辛[辛]	xin1
警[警]	jing3
愉[愉]	yu2
救命[救命]	jiu4//ming4	verb save life; rescue
受伤[受傷]	shou4//shang1	verb injured; wounded; sustain an injury
偷[偷]	tou1	verb 1 steal; pilfer; make off with 2 find (time)  noun thief; pilferer  adverb stealthily; secretly; on the sly  verb drift along
严[嚴]	yan2	adjective 1 tight; close 2 strict; severe; stern; harsh; rigorous 3 severe; extreme; hard  noun 1 dated father 2 (Yán) a surname
察[察]	cha2
严重[嚴重]	yan2zhong4	adjective serious; grave; critical
意外[意外]	yi4wai4	noun accident; mishap  adjective unexpected; unforeseen
发生[發生]	fa1sheng1	verb happen; occur; take place
辛苦[辛苦]	xin1ku3	verb courteous work hard; go to great trouble; go through hardships  adjective hard; strenuous; toilsome; laborious
希望[希望]	xi1wang4	verb hope; wish; expect  noun 1 hope; wish; expectation 2 that on which hope is placed
压[壓]	ya1	verb 1 press; push down; hold down; weigh down 2 keep under control; control; keep under; quell; hold back 3 bring pressure to bear on; suppress; daunt; intimidate 4 approach; be getting near; draw near 5 shelve; set aside 6 risk (money); stake 7 surpass; outdo 8 (in a gamble) bet; stake  noun pressure
奖[獎]	jiang3	noun award; prize; reward  verb encourage; praise; reward
责任[責任]	ze2ren4	noun 1 duty; responsibility 2 responsibility for a fault or wrong; blame
压力[壓力]	ya1li4	noun 1 physics pressure (force) 2 overwhelming force; pressure 3 burden; strain
奖金[獎金]	jiang3jin1	noun money award; bonus; premium; incentive payment
加班[加班]	jia1//ban1	verb work overtime; work an extra shift
工资[工資]	gong1zi1	noun wage; pay; salary
抱[抱]	bao4	verb 1 hold or carry in the arms; embrace; hug 2 have one's first child or grandchild 3 adopt (a child) 4 colloquial hang together 5 dialect (of shoes and clothes) fit 6 cherish; harbour  measure word armful of  verb hatch (eggs); brood
责[責]	ze2
暖[暖]	nuan3	adjective warm; genial  verb warm up
误[誤]	wu4	noun mistake; error  verb 1 miss 2 hinder; impede; harm  adjective 1 wrong; false; inaccurate 2 by mistake; by accident
误会[誤會]	wu4hui4	noun misunderstanding  verb misunderstand; mistake; misconstrue
意见[意見]	yi4jian5	noun 1 idea; view; opinion; suggestion 2 objection; differing opinion; complaint
抱歉[抱歉]	bao4qian4	adjective sorry; apologetic; regretful
干燥[乾燥]	gan1zao4	adjective 1 dry; arid (opp. 潮湿) 2 (of expression) dull; uninteresting
温[溫]	wen1
凉[涼]	liang2	noun cold  adjective 1 cool; cold 2 figurative discouraged; disappointed
谅[諒]	liang4
凉快[涼快]	liang2kuai5	verb cool oneself; cool off  adjective nice and cool; pleasantly cool
温度[溫度]	wen1du4	noun temperature
羽[羽]	yu3
度[度]	du4	noun 1 linear measure 2 degree of intensity 3 limit; extent; degree 4 tolerance; magnanimity 5 consideration 6 occasion; time 7 rules; code of conduct 8 manner; temperament; disposition 9 limited time or space  verb 1 spend; pass 2 (of Buddhist monks or nuns, or Taoist priests) preach; convert; proselytize  measure word 1 unit of measurement for angles, temperature, etc.; degree 2 electricity kilowatt-hour (kWh)
大约[大約]	da4yue1	adverb 1 approximately; about 2 probably
岁[歲]	sui4
放弃[放棄]	fang4qi4	verb abandon; give up; renounce
懒[懶]	lan3	adjective 1 lazy; indolent; slothful (opp. 勤) 2 sluggish; languid
醒[醒]	xing3	verb 1 regain consciousness; sober up; come to 2 wake up; be awake 3 be clear in mind 4 be striking; catch one's attention 5 culinary arts keep dough (after mixing it) till it reach the desired state—softness, evenness, etc.
鼓[鼓]	gu3	noun 1 drum 2 sth. resembling a drum  verb 1 beat; strike; sound 2 blow with bellows, etc. 3 rouse; agitate; pluck up 4 bulge; swell
橙[橙]	cheng2	noun 1 orange (the tree and the fruit) 2 orange colour
提醒[提醒]	ti2//xing3	verb remind; warn; call attention to
骨折[骨折]	gu3zhe2	verb medicine fracture
摩托车[摩托車]	mo2tuo1che1
区[區]	qu1	noun 1 area; district; region 2 administrative division; district  verb distinguish; classify; subdivide
试穿[試穿]	shi4chuan1	try on (a garment, shoes, etc.)
试[試]	shi4	verb try; test  noun examination; test
结账[結賬]	jie2//zhang4	verb settle (or square) accounts; balance the books
救护[救護]	jiu4hu4	verb relieve a sick or injured person; give first-aid; rescue  noun first-aid staff
创口贴[創口貼]	chuang1kou3tie1	band-aid
创口[創口]	chuang1kou3	noun wound; cut
贴[貼]	tie1	noun subsidy; allowance  verb 1 paste; stick; glue 2 keep close to; nestle 3 subsidize; help financially  measure word [for medicated plaster]  VARIANT OF 31492096帖tie1帖 tiē adjective 1 submissive; obedient 2 proper; appropriate
简历[簡歷]	jian3li4	noun biographical notes; curriculum vitae (CV); résumé
危险[危險]	wei1xian3	verb dangerous; perilous
免[免]	mian3	verb 1 excuse sb. from sth.; exempt; dispense with; waive 2 remove from office; dismiss; relieve 3 avoid; avert; escape 4 should not; not be allowed
无线[無線]	wu2xian4	adjective wireless; cableless
网[網]	wang3	noun 1 net 2 network 3 web; Internet; net  verb 1 catch with a net; net 2 cover or enclose as with a net
词[詞]	ci2	noun 1 word; term 2 words; wording 3 literature ci, poetry written to certain tunes with strict tonal patterns and rhyme schemes, in fixed numbers of lines and words, originating in the Tang Dynasty (618-907) and fully developed in the Song Dynasty (960-1279) 4 speech; statement
心理[心理]	xin1li3	noun mentality; psychology
有趣[有趣]	you3qu4	adjective interesting; fascinating; amusing
杂志[雜誌]	za2zhi4	noun 1 magazine; journal 2 [often in book titles] miscellaneous notes; notes
适合[適合]	shi4he2	verb suit; fit
学期[學期]	xue2qi1	noun school term; term; semester
页[頁]	ye4	noun page; leaf  measure word leaf; page; sheet
演员[演員]	yan3yuan2	noun actor or actress; performer
研究[研究]	yan2jiu1	verb 1 study; research 2 consider; discuss; deliberate
欧洲[歐洲]	Ou1zhou1
时代[時代]	shi2dai4	noun 1 times; age; era; epoch 2 the times; our age; the day; the present era 3 period in one's life
闹钟[鬧鐘]	nao4zhong1	noun alarm (clock)
公交车[公交車]	gong1jiao1che1	(public) bus (or tram)
晚点[晚點]	wan3//dian3	verb (of a train, ship, etc.) late; behind schedule
口罩[口罩]	kou3zhao4	noun gauze mask (worn over nose and mouth); surgical mask
结果[結果]	jie1//guo3	verb bear fruit; fructify
够[夠]	gou4	adjective enough; sufficient; adequate  adverb enough (to reach a certain extent); sufficiently  verb 1 reach (sth. by stretching) 2 reach (a standard or level)
方便[方便]	fang1bian4	verb 1 make things convenient for sb. 2 euphemistic have money to spare or lend 3 euphemistic go to the lavatory  noun convenience; favour
记得[記得]	ji4//de5	verb remember; recall; keep in memory
胃口[胃口]	wei4kou5	noun 1 appetite 2 liking 3 figurative ambition; appetite
邀[邀]	yao1	verb 1 invite; ask 2 literary solicit; seek 3 literary intercept
宠物[寵物]	chong3wu4	noun pet
外地[外地]	wai4di4	noun parts of the country other than where one is
蛇[蛇]	she2	noun snake; serpent
计划[計劃]	ji4hua4	noun plan; project; programme  verb map out; plan
陪[陪]	pei2	verb 1 accompany; keep sb. company 2 assist
室内[室內]	shi4nei4	noun indoor; interior
讨厌[討厭]	tao3//yan4	verb dislike; loathe; be disgusted with  adjective 1 disagreeable; disgusting; repugnant 2 hard to handle; troublesome; nasty
盆[盆]	pen2	noun 1 basin; tub; pot 2 sth. shaped like a basin  measure word [for things held in a basin, tub, or pot]
抽屉[抽屜]	chou1ti5	noun drawer (of a piece of furniture)
单身[單身]	dan1shen1	noun 1 unmarried; single 2 not be with one's family; live alone
辞职[辭職]	ci2//zhi2	verb resign; hand in one's resignation
厉害[厲害]	li4hai5	adjective 1 (of a wild animal or of one's temper, words, etc.) fierce; terrible 2 (of a person) strict; stern; harsh 3 (of illness, heat, cold, etc.) intense; severe; terrible 4 colloquial great; impressive; awesome; amazing
队[隊]	dui4	noun 1 row of people; line 2 team; group 3 abbreviation Young Pioneers  measure word file; line; row
奥运[奧運]	Ao4yun4	noun abbreviation 1 Olympic Movement 2 Olympiad
态度[態度]	tai4du5	noun 1 manner; bearing; how one conducts oneself 2 attitude; approach; stance
价格[價格]	jia4ge2	noun price
塑料[塑料]	su4liao4	noun plastic
平时[平時]	ping2shi2	noun 1 at ordinary times; in normal times 2 in peacetime
挂[掛]	gua4	verb 1 hang; put up 2 remain unsettled; unresolved 3 hang up; ring off 4 call (or phone, ring) up; put through to 5 hitch; get caught; snag 6 be concerned about 7 covered (or coated) with 8 register (at a hospital, etc.) 9 stay (online)  measure word set or string (of objects)
遛狗[遛狗]	liu4//gou3	verb walk a dog
收拾[收拾]	shou1shi5	verb 1 put in order; tidy; clear away 2 get things ready; pack 3 repair; mend 4 colloquial settle scores with; deal with 5 liquidate; eliminate
躺[躺]	tang3	verb lie; recline
化妆[化妝]	hua4//zhuang1	verb 1 (of actors) make up 2 put on make-up; make up
预约[預約]	yu4yue1	noun appointment  verb make an appointment
钱[錢]	qian2	noun 1 copper coin; cash 2 money; wealth 3 fund; sum 4 copper coin-shaped object 5 (Qián) a surname  measure word qian (a traditional unit of weight, equal to 0.01 jin (市斤), and equivalent to 5 grams or 0.176 ounce)
获取[獲取]	huo4qu3	verb procure; obtain; gain; reap
邮局[郵局]	you2ju2	noun post office
胶带[膠帶]	jiao1dai4	noun 1 transparent packing tape; adhesive tape 2 magnetic tape made of plastic 3 rubberized tape; adhesive tape
皮带[皮帶]	pi2dai4	noun 1 leather belt; belt 2 mechanics (driving) belt
称[稱]	cheng1	verb 1 call 2 say; state 3 commend; praise  noun name  verb weigh  verb literary lift up; raise
复印[複印]	fu4yin4	verb xerox; duplicate
打印[打印]	da3yin4	verb 1 (-//-) put a seal on; stamp 2 cut a stencil and mimeograph; mimeograph 3 computing print
文件[文件]	wen2jian4	noun 1 official documents; papers; instruments 2 articles or works on political theories, current affairs, academic research, etc. 3 computing file
箱[箱]	xiang1	noun 1 chest; box; case; trunk 2 anything in the shape of a box
信封[信封]	xin4feng1	noun envelope
邮编[郵編]	you2bian1	noun abbreviation = 34992896邮政编码you2zheng4bian1ma3邮政编码 postcode; zip code
稍等[稍等]	shao1deng3	to wait a moment
工作人员[工作人員]	gong1zuo4ren2yuan2	personnel; staff member; functionary
喂[喂]	wei4	interjection hello; hey  verb 1 feed (animals); raise 2 feed (people); put food into someone's mouth 3 pass the ball to sb.
快递[快遞]	kuai4di4	verb send by express  noun abbreviation express delivery; expressage; fast mail
洗衣[洗衣]	xi3//yi1	verb wash clothes; do laundry
洗衣液[洗衣液]	xi3yi1ye4	liquid laundry detergent
取[取]	qu3	verb 1 take; get; fetch 2 aim at; seek 3 adopt; assume; choose
卫生纸[衛生紙]	wei4sheng1zhi3	toilet paper
楼下[樓下]	lou2xia4	noun downstairs (opp. 楼上)
乱[亂]	luan4	noun 1 upheaval; riot; unrest; turmoil 2 disorder; disturbance; trouble 3 archaic literature last paragraph of a musical composition or genre of classical Chinese poetry  verb throw into disorder; confuse; mix up  adjective 1 in disorder; in a mess; in confusion 2 in a confused state of mind 3 (of a society) turbulent; riotous 4 (of sexual relationships) improper; promiscuous  adverb indiscriminately; at random; arbitrarily
查[查]	cha2	verb 1 check; examine 2 look into; investigate 3 look up; consult
名片[名片]	ming2pian4	noun visiting card; calling card; name card; business card
明信片[明信片]	ming2xin4pian4	noun postcard
